profile_name,count
"	POLYCHLORINATED BIPHENYLS (AROCLORS)>=8.265e-09		PROPYLENE DICHLORIDE (1,2-DICHLOROPROPANE)>=6.441e-03	",45
	BERYLLIUM COMPOUNDS>=3.091e-04		METHYL METHACRYLATE>=1.436e-03	,23
	CARBON DISULFIDE>=5.609e-03		STYRENE>=1.075e-01	,21
	METHYL ISOBUTYL KETONE (HEXONE)>=5.571e-01		STYRENE>=1.075e-01	,19
	HEXAMETHYLENE DIISOCYANATE>=2.350e-06		ACETAMIDE>=5.481e-06	,19
	BERYLLIUM COMPOUNDS>=3.091e-04		2-NITROPROPANE>=9.381e-09	,17
	O-TOLUIDINE>=5.570e-08		POLYCHLORINATED BIPHENYLS (AROCLORS)>=5.019e-07	,16
	CHLOROPRENE>=7.576e-07		POLYCHLORINATED BIPHENYLS (AROCLORS)>=5.019e-07	,16
"	1,3-DICHLOROPROPENE>=1.455e-03		COBALT COMPOUNDS>=1.523e-04		STYRENE>=1.075e-01	",14
	PROPYLENE OXIDE>=6.891e-04		STYRENE>=1.075e-01	,14
	BERYLLIUM COMPOUNDS>=3.091e-04		ALLYL CHLORIDE>=8.203e-07	,13
	PHENOL>=2.203e-02		METHYL CHLORIDE (CHLOROMETHANE)>=1.090e+00	,13
	PROPYLENE OXIDE>=6.891e-04		VINYL ACETATE>=1.492e-03	,13
	ACETALDEHYDE>=2.299e+00		MANGANESE COMPOUNDS>=5.520e-03	,12
	MERCURY COMPOUNDS>=2.163e-03		ETHYLENE OXIDE>=1.864e-04	,11
	POLYCHLORINATED BIPHENYLS (AROCLORS)>=5.019e-07		O-TOLUIDINE>=5.570e-08	,11
"	METHYLHYDRAZINE>=3.682e-06		1,3-BUTADIENE>=2.558e-01	",11
	MANGANESE COMPOUNDS>=5.409e-03		SELENIUM COMPOUNDS>=1.308e-03	,11
	METHYLHYDRAZINE>=3.682e-06		TITANIUM TETRACHLORIDE>=4.435e-05	,11
